t	x_d	y_d	theta_d	Vr	oz	Vdot
17.900000	3.580000	0.000000	0.000000	0.200000	0.000000	0.000000
18.000000	3.600000	0.000000	0.000000	0.200000	0.000000	0.000000
18.100000	3.620000	0.000000	0.000000	0.200000	0.000000	0.000000
18.200000	3.640000	0.000000	0.000000	0.200000	0.000000	0.000000
18.300000	3.660000	0.000000	0.000000	0.200000	0.000000	0.000000
18.400000	3.680000	0.000000	0.000000	0.200000	0.000000	0.000000
18.500000	3.700000	0.000000	0.000000	0.200000	0.000000	0.000000
18.600000	3.720000	0.000000	0.000000	0.200000	0.000000	0.000000
18.700000	3.740000	0.000000	0.000000	0.200000	0.000000	0.000000
18.800000	3.760000	0.000000	0.000000	0.200000	0.000000	0.000000
18.900000	3.780000	0.000000	0.000000	0.200000	0.000000	0.000000
19.000000	3.800000	0.000000	0.000000	0.200000	0.000000	0.000000
19.100000	3.820000	0.000000	0.000000	0.200000	0.000000	0.000000
19.200000	3.840000	0.000000	0.000000	0.200000	0.000000	0.000000
19.300000	3.860000	0.000000	0.000000	0.200000	0.000000	0.000000
19.400000	3.880000	0.000000	0.000000	0.200000	0.000000	0.000000
19.500000	3.900000	0.000000	0.000000	0.200000	0.000000	0.000000
19.600000	3.920000	0.000000	0.000000	0.200000	0.000000	0.000000
19.700000	3.940000	0.000000	0.000000	0.200000	0.000000	0.000000
19.800000	3.960000	0.000000	0.000000	0.200000	0.000000	0.000000
19.900000	3.980000	0.000000	0.000000	0.200000	0.000000	0.000000
20.000000	4.000000	0.000000	0.000000	0.200000	0.000000	0.000000
20.100000	4.020000	0.000000	0.000000	0.200000	0.000000	0.000000
20.200000	4.040000	0.000000	0.000000	0.200000	0.000000	0.000000
20.300000	4.060000	0.000000	0.000000	0.200000	0.000000	0.000000
20.400000	4.080000	0.000000	0.000000	0.200000	0.000000	0.000000
20.500000	4.100000	0.000000	0.000000	0.200000	0.000000	0.000000
20.600000	4.120000	0.000000	0.000000	0.200000	0.000000	0.000000
20.700000	4.140000	0.000000	0.000000	0.200000	0.000000	0.000000
20.800000	4.160000	0.000000	0.000000	0.200000	0.000000	0.000000
20.900000	4.180000	0.000000	0.000000	0.200000	0.000000	0.000000
21.000000	4.200000	0.000000	0.000000	0.200000	0.000000	0.000000
21.100000	4.220000	0.000000	0.000000	0.200000	0.000000	0.000000
21.200000	4.240000	0.000000	0.000000	0.200000	0.000000	0.000000
21.300000	4.260000	0.000000	0.000000	0.200000	0.000000	0.000000
21.400000	4.280000	0.000000	0.000000	0.200000	0.000000	0.000000
21.500000	4.300000	0.000000	0.000000	0.200000	0.000000	0.000000
21.600000	4.320000	0.000000	0.000000	0.200000	0.000000	0.000000
21.700000	4.340000	0.000000	0.000000	0.200000	0.000000	0.000000
21.800000	4.360000	0.000000	0.000000	0.200000	0.000000	0.000000
21.900000	4.380000	0.000000	0.000000	0.200000	0.000000	0.000000
22.000000	4.400000	0.000000	0.000000	0.200000	0.000000	0.000000
22.100000	4.420000	0.000000	0.000000	0.200000	0.000000	0.000000
22.200000	4.440000	0.000000	0.000000	0.200000	0.000000	0.000000
22.300000	4.460000	0.000000	0.000000	0.200000	0.000000	0.000000
22.400000	4.480000	0.000000	0.000000	0.200000	0.000000	0.000000
22.500000	4.500000	0.000000	0.000000	0.200000	0.000000	0.000000
22.600000	4.520000	0.000000	0.000000	0.200000	0.000000	0.000000
22.700000	4.540000	0.000000	0.000000	0.200000	0.000000	0.000000
22.800000	4.560000	0.000000	0.000000	0.200000	0.000000	0.000000
22.900000	4.580000	0.000000	0.000000	0.200000	0.000000	0.000000
23.000000	4.600000	0.000000	0.000000	0.200000	0.000000	0.000000
23.100000	4.620000	0.000000	0.000000	0.200000	0.000000	0.000000
23.200000	4.640000	0.000000	0.000000	0.200000	0.000000	0.000000
23.300000	4.660000	0.000000	0.000000	0.200000	0.000000	0.000000
23.400000	4.680000	0.000000	0.000000	0.200000	0.000000	0.000000
23.500000	4.700000	0.000000	0.000000	0.200000	0.000000	0.000000
23.600000	4.720000	0.000000	0.000000	0.200000	0.000000	0.000000
23.700000	4.740000	0.000000	0.000000	0.200000	0.000000	0.000000
23.800000	4.760000	0.000000	0.000000	0.200000	0.000000	0.000000
23.900000	4.780000	0.000000	0.000000	0.200000	0.000000	0.000000
24.000000	4.800000	0.000000	0.000000	0.200000	0.000000	0.000000
24.100000	4.820000	0.000000	0.000000	0.200000	0.000000	0.000000
24.200000	4.840000	0.000000	0.000000	0.200000	0.000000	0.000000
24.300000	4.860000	0.000000	0.000000	0.200000	0.000000	0.000000
24.400000	4.880000	0.000000	0.000000	0.200000	0.000000	0.000000
24.500000	4.900000	0.000000	0.000000	0.200000	0.000000	0.000000
24.600000	4.920000	0.000000	0.000000	0.200000	0.000000	0.000000
24.700000	4.940000	0.000000	0.000000	0.200000	0.000000	0.000000
24.800000	4.960000	0.000000	0.000000	0.200000	0.000000	0.000000
24.900000	4.980000	0.000000	0.000000	0.200000	0.000000	0.000000
